__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:20:53 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      12
Number of dimensions:     2
Interaction style:        Coulomb
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Slater determinant
Element 1:                Gaussian
Element 2:                Padé-Jastrow
Basis:                    Hermite
Initial parameters:       constant
Number of parameters:     2
Number of hidden nodes:   12
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.100000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
1  68.07480444  0.00593877  11.75109024  0.01588183  17.48042169  0.00797408  38.84329252  0.01912049  0.97198000  0.58491993
2  67.03720435  0.00477384  10.74191807  0.04339396  19.12524101  0.05654404  37.17004528  0.12573187  0.97370000  0.57604337
3  66.41450070  0.00372143  10.04095383  0.06170610  20.53736517  0.08334440  35.83618170  0.17461196  0.97610000  0.58161545
4  66.00209161  0.00285980  9.52132873  0.07094610  21.71600839  0.10614013  34.76475449  0.20887537  0.97737000  0.59461045
5  65.67129135  0.00241566  8.81844852  0.07825779  23.68093813  0.12690558  33.17190469  0.23659189  0.97899000  0.58312058
6  65.66455443  0.00285689  8.21291974  0.08390042  25.57309483  0.14785243  31.87853986  0.25922075  0.98130000  0.59614182
7  65.91258130  0.00362038  7.57590590  0.08930084  27.72115987  0.16901335  30.61551552  0.27873538  0.98174000  0.60431337
8  66.33242502  0.00473898  7.18815930  0.09311574  29.55790280  0.19091002  29.58636293  0.29538454  0.98400000  0.58284235
9  66.08822065  0.00425240  7.33310855  0.09662681  28.69934456  0.21295123  30.05576754  0.31019078  0.98341000  0.64545035
10  66.38581832  0.00494167  6.98799142  0.10023732  29.99047442  0.23187351  29.40735248  0.32478953  0.98325000  0.69317293
11  66.26151681  0.00457468  7.18670210  0.10315999  29.44496733  0.25085568  29.62984738  0.33808244  0.98355000  0.70031667
12  65.99044294  0.00382974  7.53743218  0.10621705  28.14380401  0.26789407  30.30920675  0.35109393  0.98210000  0.69574785
13  65.77309379  0.00299737  7.96262110  0.10972979  26.86640587  0.28250810  30.94406681  0.36428150  0.98036000  0.71094227
14  65.60948128  0.00258777  8.49266839  0.11330733  25.02988231  0.29523988  32.08693058  0.37749915  0.97987000  0.70363212
15  65.67387853  0.00224068  8.79322123  0.11703205  23.97189355  0.30585358  32.90876375  0.39116534  0.97817000  0.60287333
16  65.74430432  0.00237766  9.17293097  0.12099506  22.95981815  0.31527902  33.61155520  0.40507212  0.97802000  0.58000875
17  65.91709795  0.00261904  9.30914036  0.12615161  22.15926105  0.32369481  34.44869654  0.41941016  0.97747000  0.61742949
18  66.02514603  0.00271029  9.46285397  0.13484746  21.65680986  0.33133106  34.90548220  0.43503514  0.97614000  0.59559941
19  66.08681677  0.00289416  9.79115565  0.13889095  21.36694839  0.33846868  34.92871273  0.44913784  0.97621000  0.61188126
20  66.17029862  0.00302902  9.95666751  0.14327527  20.96510688  0.34527984  35.24852424  0.46290759  0.97491000  0.62536788
21  66.23690963  0.00312146  10.19584859  0.14715006  20.60065896  0.35171200  35.44040209  0.47636123  0.97466000  0.63264012
22  66.31427077  0.00320009  10.10685494  0.15132480  20.58744906  0.35781639  35.61996677  0.48966524  0.97458000  0.61300373
23  66.17293515  0.00308068  9.83862228  0.15636235  21.26094764  0.36383227  35.07336523  0.50305395  0.97484000  0.59791112
24  66.10680765  0.00287956  9.86155097  0.16012387  21.09142871  0.37012712  35.15382797  0.51543608  0.97506000  0.58774376
25  66.04545564  0.00268079  9.77743213  0.16367751  21.44490061  0.37621129  34.82312290  0.52753041  0.97561000  0.57331800
26  65.97624952  0.00265139  9.75987143  0.16705123  21.58473941  0.38240338  34.63163867  0.53912323  0.97623000  0.57679701
27  66.01493490  0.00268821  9.58441809  0.17126182  21.71108767  0.38857877  34.71942914  0.55064219  0.97627000  0.57370496
28  65.85200079  0.00242852  9.40054929  0.17490545  22.19513058  0.39471444  34.25632093  0.56185243  0.97677000  0.57763982
29  65.74800390  0.00225314  9.31447827  0.17787537  22.95314478  0.40103684  33.48038084  0.57240589  0.97742000  0.62794614
30  65.76031917  0.00217270  9.23620306  0.18066087  23.03858761  0.40768747  33.48552851  0.58228297  0.97747000  0.70521355
31  65.70932433  0.00214964  8.90407322  0.18372282  23.43666682  0.41429319  33.36858429  0.59211128  0.97896000  0.69674969
32  65.67227884  0.00215047  8.93240687  0.18631868  23.91973187  0.42102259  32.82014010  0.60163556  0.97804000  0.69223142
33  65.61394950  0.00217691  8.97293278  0.18882637  23.89154514  0.42790523  32.74947159  0.61068902  0.97825000  0.69414997
34  65.60922313  0.00214459  8.85531936  0.19126255  23.97796917  0.43465757  32.77593460  0.61955627  0.97852000  0.60166621
35  65.59050828  0.00220335  8.63651542  0.19452295  24.12144656  0.44135210  32.83254630  0.62860124  0.97880000  0.57915568
36  65.56672083  0.00231090  8.59595642  0.19694613  24.74571930  0.44803585  32.22504512  0.63732956  0.97913000  0.58031106
37  65.61688378  0.00236541  8.51347000  0.19938356  25.10616097  0.45495716  31.99725281  0.64565538  0.97845000  0.57415628
38  65.58566617  0.00242724  8.48117330  0.20152059  25.06123391  0.46196612  32.04325896  0.65368197  0.97974000  0.57670712
39  65.61923772  0.00228669  8.40641399  0.20362001  25.31821902  0.46885027  31.89460471  0.66163750  0.97875000  0.57608986
40  65.59882490  0.00242612  8.41200540  0.20577983  25.03906472  0.47577171  32.14775479  0.66946179  0.97849000  0.57397294
41  65.57224592  0.00236237  8.59238085  0.20794838  24.35212659  0.48243932  32.62773849  0.67733088  0.97897000  0.57737994
42  65.58514627  0.00222510  8.61291347  0.21054724  24.37927514  0.48866898  32.59295765  0.68544586  0.97849000  0.57450247
43  65.61628635  0.00220255  8.64691749  0.21261588  24.85635456  0.49483529  32.11301431  0.69328962  0.97880000  0.57929659
44  65.55224535  0.00229007  8.55758560  0.21494564  24.58739161  0.50115168  32.40726813  0.70090139  0.97926000  0.57702994
45  65.59168463  0.00230283  8.73628291  0.21693648  24.80081717  0.50726295  32.05458455  0.70847993  0.97829000  0.57549882
46  65.56450195  0.00228258  8.66692828  0.21947891  24.59175785  0.51340458  32.30581581  0.71597732  0.97863000  0.61310697
47  65.56168332  0.00222020  8.78684141  0.22154588  24.60374182  0.51936894  32.17110009  0.72337918  0.97793000  0.60788846
48  65.60370009  0.00235113  8.64622929  0.22376389  24.78722414  0.52527449  32.17024665  0.73067903  0.97755000  0.59271932
49  65.61666017  0.00234785  8.63179128  0.22579909  25.14730322  0.53120300  31.83756567  0.73787743  0.97838000  0.58828783
50  65.57102104  0.00238076  8.61801342  0.22775372  24.99778181  0.53723331  31.95522581  0.74484322  0.97767000  0.59353900
51  65.63911647  0.00250688  8.56785085  0.22973173  25.36036708  0.54313095  31.71089854  0.75180937  0.97714000  0.59900069
52  65.58535204  0.00242130  8.71158781  0.23173238  25.13756554  0.54912314  31.73619869  0.75861730  0.97688000  0.57531762
53  65.66716537  0.00261750  8.47863245  0.23377461  25.67252199  0.55496405  31.51601092  0.76537881  0.97640000  0.57824683
54  65.60117298  0.00254561  8.65084183  0.23554240  25.24879731  0.56096592  31.70153384  0.77194051  0.97761000  0.57344699
55  65.64683443  0.00229083  8.67619230  0.23844945  24.97239218  0.56671768  31.99824995  0.77885401  0.97705000  0.57373190
56  65.58608797  0.00237348  8.67626364  0.24258220  24.55351790  0.57228529  32.35630643  0.78621991  0.97559000  0.57530689
57  65.64201585  0.00237231  8.79446428  0.24489055  24.66244223  0.57762598  32.18510933  0.79311348  0.97464000  0.57371712
58  65.60747790  0.00229982  8.99017400  0.24687711  24.12194383  0.58295744  32.49536006  0.79977257  0.97540000  0.57389808
59  65.64580685  0.00212549  9.27802793  0.24897426  23.13107993  0.58800623  33.23669899  0.80651994  0.97428000  0.57367158
60  65.81624327  0.00214678  9.81493957  0.25098752  22.56121154  0.59262312  33.44009216  0.81345665  0.97324000  0.57233524
61  65.88147393  0.00221503  9.83523523  0.25325463  22.12259852  0.59697909  33.92364019  0.82044011  0.97370000  0.57292008
62  65.98183329  0.00231655  10.02630033  0.25544681  21.59491198  0.60114118  34.36062099  0.82754571  0.97333000  0.57263112
63  66.06921177  0.00232549  10.06751506  0.25787177  21.25170010  0.60507473  34.74999661  0.83482299  0.97146000  0.67484260
64  66.15451639  0.00253643  10.33354792  0.26014813  20.93214124  0.60886213  34.88882724  0.84215446  0.97153000  0.61972404
65  66.34642674  0.00272700  10.43875101  0.26279597  20.21760302  0.61251733  35.69007271  0.84957108  0.97220000  0.57527280
66  66.27262068  0.00283444  10.34223597  0.26544250  20.61884458  0.61591371  35.31154013  0.85724872  0.97093000  0.57599616
67  66.38613303  0.00281003  10.38802890  0.26790066  20.29071830  0.61941752  35.70738583  0.86465929  0.97130000  0.57381153
68  66.29179827  0.00274346  10.33902148  0.27021705  20.63143001  0.62279454  35.32134678  0.87213149  0.97160000  0.57572412
69  66.18748936  0.00251187  10.37072039  0.27252251  20.84349537  0.62626500  34.97327360  0.87938866  0.97156000  0.57198215
70  66.02041223  0.00241176  10.07177319  0.27485374  21.53791636  0.62979353  34.41072268  0.88645744  0.97126000  0.58317876
71  65.86667368  0.00205317  9.87998224  0.27719765  22.10236801  0.63353204  33.88432343  0.89328884  0.97352000  0.60715938
72  65.67256497  0.00208117  9.35257886  0.27928968  23.06549429  0.63745199  33.25449182  0.89981838  0.97487000  0.61362791
73  65.67629221  0.00222745  8.95404644  0.28499182  23.88957311  0.64169293  32.83267267  0.90726289  0.97425000  0.59279704
74  65.57968923  0.00243946  8.84339065  0.28665410  24.52157514  0.64621121  32.21472344  0.91329038  0.97537000  0.57445812
75  65.65526884  0.00315498  8.46672551  0.28830410  25.93056890  0.65093726  31.25797443  0.91906646  0.97494000  0.57641339
76  65.75696720  0.00363941  8.29715651  0.28985553  27.03123205  0.65617813  30.42857863  0.92448386  0.97571000  0.57522559
77  65.85838841  0.00370055  8.12392576  0.29127034  27.44556274  0.66181798  30.28889992  0.92956592  0.97565000  0.57826972
78  65.68330415  0.00340092  8.49223357  0.29260297  26.22307174  0.66756875  30.96799885  0.93456780  0.97588000  0.57627010
79  65.67750102  0.00283817  8.67001878  0.29423032  25.71328792  0.67278962  31.29419432  0.93982819  0.97439000  0.57549262
80  65.58269934  0.00260727  8.76692383  0.29575235  24.85860562  0.67776487  31.95716990  0.94512275  0.97303000  0.57318997
81  65.61079892  0.00255274  9.16407677  0.29731792  24.20838360  0.68238104  32.23833856  0.95061192  0.97335000  0.57382178
82  65.66616485  0.00238879  9.18269805  0.29938793  24.05415579  0.68672862  32.42931101  0.95628389  0.97355000  0.57386255
83  65.70511383  0.00222949  9.50853220  0.30102846  23.30890232  0.69099734  32.88767931  0.96186113  0.97278000  0.57279801
84  65.71687952  0.00223828  9.69206261  0.30286558  22.71805277  0.69498454  33.30676414  0.96759505  0.97280000  0.57268906
85  65.84755275  0.00221791  9.83097486  0.30466993  22.32688981  0.69875676  33.68968808  0.97341561  0.97232000  0.57553482
86  65.90606478  0.00227513  9.89863991  0.30664415  21.79806277  0.70237843  34.20936210  0.97937422  0.97087000  0.57590914
87  65.96733647  0.00229912  10.02199743  0.30879806  21.56982143  0.70580962  34.37551761  0.98552881  0.97047000  0.58066726
88  65.96784982  0.00240431  10.12855068  0.31076387  21.44994075  0.70916019  34.38935839  0.99163623  0.97076000  0.59066582
89  66.06358806  0.00249173  10.11788466  0.31272987  21.31075172  0.71245717  34.63495168  0.99770449  0.97007000  0.57750845
90  66.07584331  0.00249136  10.18187414  0.31461282  21.46963258  0.71569375  34.42433660  1.00379752  0.97127000  0.57550859
91  66.12557312  0.00246918  10.11427488  0.31703340  21.01639981  0.71896251  34.99489843  1.00995150  0.97205000  0.57726002
92  66.06866802  0.00246530  10.21917517  0.31905442  21.18800167  0.72208971  34.66149118  1.01614554  0.97153000  0.57569861
93  65.98827396  0.00232694  10.05637357  0.32109402  21.60786620  0.72524947  34.32403419  1.02218853  0.97021000  0.57552004
94  65.81076287  0.00235425  9.77256179  0.32305132  22.28893622  0.72852220  33.74926486  1.02807717  0.97123000  0.57600069
95  65.67567066  0.00243237  9.45146902  0.32480561  23.15622816  0.73198691  33.06797348  1.03370471  0.97239000  0.57519031
96  65.66014298  0.00281281  9.24145909  0.32655713  24.48029599  0.73570264  31.93838791  1.03911065  0.97195000  0.57527900
97  65.81569228  0.00374150  8.67930848  0.32816492  26.44353817  0.73983974  30.69284563  1.04411107  0.97258000  0.57533979
98  66.18369208  0.00496959  8.16503083  0.32947729  28.75685293  0.74463767  29.26180833  1.04867199  0.97378000  0.57463217
99  65.79254985  0.00409849  8.54134308  0.33164279  26.74042951  0.75024675  30.51077726  1.05312129  0.97361000  0.57480526

               Final results
==============================================
 Total energy            : 65.6073329626 (with STD = 0.0029870750)
 Kinetic energy          : 9.1151850582 (with STD = 0.3329830563)
 External energy         : 24.4329872093 (with STD = 0.7550608525)
 Interaction energy      : 32.0591606951 (with STD = 1.0576217111)
 Acceptence Ratio        : 0.9716000000

Finished computation at Thu Jan  7 17:21:53 2021
Elapsed time: 59.6212284090s

Average CPU time before convergence: 0.5986236454
