__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 18:11:24 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      10
Number of dimensions:     3
Interaction style:        Coulomb
Hamiltonian:              atom
Initial state:            random normal
Atomic number:            10


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Slater determinant
Element 1:                Padé-Jastrow
Basis:                    hydrogen orbital
Initial parameters:       constant
Number of parameters:     1
Number of hidden nodes:   10
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.050000
Step length:              0.005000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
1  -122.55237466  0.02426624  169.55033742  0.39872007  -366.83004766  0.40863989  74.72733557  0.04088242  0.98387000  0.52871752
2  -122.10741161  0.02085009  165.08296296  0.77211921  -363.03317540  1.29257604  75.84280083  0.24314381  0.98399000  0.51507616
3  -121.60352010  0.01839421  161.46381925  0.99948461  -359.00112295  1.76831597  75.93378360  0.34352611  0.98466000  0.51271439
4  -122.20293284  0.01757493  155.75134876  1.19315875  -352.11488563  2.14154092  74.16060403  0.42055278  0.98494000  0.51609921
5  -122.58405825  0.01905306  163.28008614  1.35404786  -360.78052485  2.44988253  74.91638046  0.48307193  0.98509000  0.51212597
6  -121.91927023  0.01658186  165.60986375  1.50199607  -362.43742257  2.73301315  74.90828859  0.53924685  0.98430000  0.51274776
7  -121.59348390  0.01804490  160.15975156  1.63120002  -357.59733366  2.98676268  75.84409821  0.59004829  0.98498000  0.51446319
8  -122.49710162  0.02036998  166.94518535  1.75228317  -364.53847559  3.21902534  75.09618862  0.63822683  0.98376000  0.51521444
9  -123.17927009  0.01804072  163.07338384  1.86726739  -359.32303047  3.44043147  73.07037653  0.68188294  0.98465000  0.51522160
10  -122.59187186  0.01817627  161.85817375  1.96869268  -359.21548714  3.64125544  74.76544152  0.72089756  0.98464000  0.51485300
11  -122.73557667  0.01836363  162.81629531  2.07279552  -360.19619260  3.83614924  74.64432062  0.75965407  0.98442000  0.51537108
12  -123.34478783  0.01715044  157.37545019  2.16530625  -353.30674994  4.01852350  72.58651192  0.79627528  0.98508000  0.51506209
13  -122.50709183  0.01698561  166.25518582  2.25796753  -363.17233498  4.19128090  74.41005734  0.82950984  0.98433000  0.51470470
14  -123.20539433  0.01745695  167.64790845  2.35247628  -364.75787566  4.36510256  73.90457288  0.86299796  0.98361000  0.51714683
