__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:22:54 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        no interaction
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Gaussian
Basis:                    no basis
Initial parameters:       constant
Number of parameters:     1
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      1000
Number of burn-in cycles: 1
Learning rate:            0.500000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             gradient descent
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
1  2.00000000  0.00000000  1.26395877  0.01343981  0.73604123  0.01343981  0.00000000  0.00000000  0.99100000  0.00057197
2  2.00000000  0.00000000  0.99730577  0.04737317  1.00269423  0.03447292  0.00000000  0.00000000  0.98900000  0.00054669
3  2.00000000  0.00000000  1.27961007  0.05869690  0.72038993  0.04899253  0.00000000  0.00000000  0.98500000  0.00055456
4  2.00000000  0.00000000  1.16997853  0.07308457  0.83002147  0.05637248  0.00000000  0.00000000  0.98800000  0.00054955
5  2.00000000  0.00000000  1.15664975  0.08345584  0.84335025  0.06419864  0.00000000  0.00000000  0.98900000  0.00054955
6  2.00000000  0.00000000  1.24853332  0.09240573  0.75146668  0.07119556  0.00000000  0.00000000  0.98800000  0.00054741
7  2.00000000  0.00000000  1.12665420  0.10170864  0.87334580  0.07668444  0.00000000  0.00000000  0.98000000  0.00055289
8  2.00000000  0.00000000  1.04611887  0.10912576  0.95388113  0.08329267  0.00000000  0.00000000  0.98300000  0.00078583
9  2.00000000  0.00000000  1.02283923  0.11525541  0.97716077  0.09015860  0.00000000  0.00000000  0.98800000  0.00052691
10  2.00000000  0.00000000  1.09154293  0.12092036  0.90845707  0.09682531  0.00000000  0.00000000  0.98500000  0.00052857
11  2.00000000  0.00000000  1.13350438  0.12801170  0.86649562  0.10379899  0.00000000  0.00000000  0.98700000  0.00052881
12  2.00000000  0.00000000  1.00045868  0.13426512  0.99954132  0.10899697  0.00000000  0.00000000  0.98900000  0.00052810
13  2.00000000  0.00000000  1.21897289  0.13880237  0.78102711  0.11453157  0.00000000  0.00000000  0.98700000  0.00052762
14  2.00000000  0.00000000  0.98067951  0.14570185  1.01932049  0.11918272  0.00000000  0.00000000  0.98500000  0.00053620
