__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:28:11 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        Coulomb
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                RBM-Gaussian
Element 1:                RBM-product
Basis:                    no basis
Initial parameters:       random uniform
Number of parameters:     14
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 500
Number of MC cycles:      50000
Number of burn-in cycles: 50
Learning rate:            0.050000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
1  3.20871262  0.00742434  0.98496069  0.00312029  1.03425674  0.00319228  1.18949519  0.00741628  0.99860000  0.05355835
2  3.21712049  0.00904797  0.93459919  0.00628126  1.08939939  0.00650553  1.19312191  0.01284458  0.99838000  0.03181267
3  3.20390778  0.00879366  0.97033013  0.00817839  1.05319305  0.00874826  1.18038461  0.01645505  0.99892000  0.03237724
4  3.20552592  0.00762970  0.97960792  0.00979001  1.03240083  0.01044716  1.19351717  0.01889285  0.99836000  0.03168607
5  3.29266008  0.01145685  1.00351396  0.01117522  1.01804115  0.01185951  1.27110497  0.02273259  0.99862000  0.03204846
6  3.24760611  0.00917943  0.97399445  0.01246185  1.03587998  0.01311297  1.23773167  0.02516771  0.99838000  0.03234911
7  3.21715464  0.00950610  0.96564081  0.01356718  1.04196056  0.01425674  1.20955327  0.02746633  0.99866000  0.03227234
8  3.25826063  0.01041794  1.02002577  0.01455818  0.98953265  0.01530725  1.24870220  0.02987149  0.99874000  0.03221345
9  3.22133279  0.00961719  0.95378295  0.01559586  1.05867778  0.01627110  1.20887206  0.03187843  0.99838000  0.03233433
10  3.19352085  0.00874026  0.93908003  0.01648919  1.07302750  0.01725902  1.18141332  0.03349669  0.99814000  0.03192306
11  3.21983624  0.01026680  0.99051097  0.01729720  1.01592732  0.01818335  1.21339795  0.03543150  0.99860000  0.03183889
12  3.23541233  0.01150852  0.95266555  0.01813758  1.06217350  0.01902056  1.22057328  0.03765135  0.99840000  0.03176069
13  3.20088337  0.00787351  0.98075330  0.01888412  1.03024107  0.01984935  1.18988899  0.03885415  0.99842000  0.03201294
14  3.24439228  0.01068816  1.00924617  0.01962873  1.00469820  0.02061505  1.23044791  0.04064957  0.99848000  0.03166127
15  3.25573948  0.00896084  0.99176545  0.02038595  1.02507245  0.02134215  1.23890158  0.04199145  0.99868000  0.03185797
16  3.25618027  0.01973941  1.01521528  0.02109050  0.99801553  0.02205205  1.24294945  0.04673351  0.99826000  0.03189039
17  3.24918446  0.01110450  0.98586381  0.02181262  1.02543775  0.02273314  1.23788290  0.04835858  0.99846000  0.03242326
18  3.19681520  0.00769859  0.95274765  0.02248493  1.05801491  0.02341736  1.18605264  0.04928207  0.99864000  0.03182983
19  3.23274297  0.00847180  0.97024233  0.02310550  1.04430317  0.02410846  1.21819746  0.05028883  0.99868000  0.03232121
20  3.20696981  0.00757260  0.94896895  0.02374284  1.05756420  0.02478177  1.20043666  0.05114768  0.99870000  0.03186059
21  3.23743263  0.00995348  0.96930172  0.02433443  1.04024261  0.02543699  1.22788830  0.05238472  0.99882000  0.03221107
22  3.25650819  0.00739456  0.99828841  0.02492354  1.00975590  0.02605935  1.24846387  0.05318985  0.99848000  0.03187966
23  3.25185519  0.00802393  0.96841649  0.02551810  1.03944911  0.02663784  1.24398959  0.05408209  0.99868000  0.03175974
24  3.24496439  0.01218541  1.00726269  0.02606654  0.99752414  0.02721767  1.24017756  0.05571680  0.99850000  0.03294206
25  3.25617771  0.01113156  1.01672505  0.02662734  0.99204274  0.02774933  1.24740991  0.05709003  0.99842000  0.03251171
26  3.25484520  0.02357353  0.97467054  0.02720474  1.03244801  0.02829131  1.24772665  0.06201870  0.99858000  0.03234363
27  3.22638344  0.00836458  0.94251386  0.02774378  1.06152982  0.02885142  1.22233976  0.06282932  0.99844000  0.03246498
28  3.24477756  0.00798777  1.01015937  0.02822871  1.00185424  0.02940476  1.23276396  0.06357322  0.99848000  0.03210711
29  3.25099431  0.00832059  0.99116971  0.02875732  1.01848682  0.02990883  1.24133777  0.06435402  0.99866000  0.03167534
30  3.23900486  0.01112355  0.97891746  0.02926898  1.03242851  0.03042235  1.22765890  0.06554585  0.99872000  0.03211594
31  3.23694100  0.01083740  0.97530646  0.02975673  1.03454427  0.03092904  1.22709027  0.06666358  0.99856000  0.03211880
32  3.22554435  0.01706481  0.97875536  0.03022998  1.03147432  0.03142429  1.21531467  0.06903315  0.99832000  0.03172374
33  3.24944472  0.00917456  0.96810401  0.03071634  1.03925443  0.03192774  1.24208629  0.06985357  0.99842000  0.03182459
34  3.23369886  0.01127351  0.96989981  0.03118102  1.03101794  0.03242039  1.23278111  0.07097542  0.99868000  0.03212070
35  3.16756402  0.00670185  0.96124147  0.03164325  1.03976245  0.03290151  1.16656010  0.07150431  0.99850000  0.03180504
36  3.22709628  0.01211939  0.97047576  0.03208716  1.03609916  0.03337850  1.22052136  0.07271320  0.99868000  0.03212595
37  3.23434437  0.00992112  0.98501656  0.03252824  1.02330452  0.03384381  1.22602329  0.07359088  0.99884000  0.03192735
38  3.21709273  0.00871704  0.95105906  0.03299981  1.06644588  0.03432518  1.19958780  0.07431098  0.99842000  0.03220415
39  3.22054066  0.01067763  0.97304957  0.03342332  1.03955669  0.03480237  1.20793441  0.07526783  0.99854000  0.03209090
40  3.18709629  0.00833896  0.95537363  0.03384691  1.04349451  0.03524881  1.18822814  0.07592122  0.99842000  0.03216696
41  3.19729190  0.00895421  0.97746959  0.03426039  1.03695026  0.03570126  1.18287205  0.07663406  0.99846000  0.03181696
42  3.17940727  0.00720673  0.96601456  0.03468047  1.04192123  0.03613978  1.17147147  0.07715510  0.99858000  0.03168702
43  3.21804697  0.00785600  0.95917521  0.03509307  1.04259682  0.03657967  1.21627494  0.07773149  0.99856000  0.03197408
44  3.23508439  0.00772733  0.99161276  0.03549234  1.01554962  0.03700984  1.22792201  0.07830488  0.99872000  0.03179884
45  3.23839844  0.00866727  0.99386824  0.03590995  1.00694658  0.03742233  1.23758362  0.07897442  0.99862000  0.03150344
46  3.23027882  0.00777645  0.96696820  0.03632382  1.04251776  0.03782790  1.22079286  0.07955066  0.99850000  0.03236556
47  3.23785836  0.01368169  1.01054624  0.03670847  0.99722042  0.03823873  1.23009171  0.08090427  0.99866000  0.03219104
48  3.21229470  0.00950201  0.96061626  0.03712542  1.04727451  0.03863477  1.20440392  0.08164753  0.99856000  0.03198886
49  3.21739348  0.00828254  0.99463892  0.03750275  1.01643923  0.03904492  1.20631533  0.08224479  0.99862000  0.03177524
50  3.23449064  0.00935418  0.99203266  0.03789214  1.02439464  0.03943447  1.21806334  0.08295324  0.99826000  0.03219247
51  3.24665355  0.01039611  0.99350293  0.03827663  1.01363644  0.03982086  1.23951418  0.08378051  0.99854000  0.03227592
52  3.26438857  0.00977391  0.96766574  0.03866939  1.04110892  0.04021157  1.25561391  0.08453221  0.99826000  0.03214574
53  3.24864659  0.00884008  0.99751269  0.03903616  1.01390973  0.04060374  1.23722417  0.08518041  0.99870000  0.03170419
54  3.21868824  0.00784698  0.97767201  0.03941028  1.02167996  0.04097183  1.21933627  0.08571996  0.99878000  0.03130746
55  3.26749152  0.00870285  0.99014084  0.03977807  1.02670117  0.04135035  1.25064951  0.08633543  0.99854000  0.03139234
