__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:29:08 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        Coulomb
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Gaussian
Element 1:                Padé-Jastrow
Basis:                    no basis
Initial parameters:       constant
Number of parameters:     2
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.100000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
1  3.08921109  0.00121477  1.08968303  0.00404763  0.95619337  0.00186961  1.04333470  0.00445858  0.98575000  0.06179214
2  3.07428641  0.00114762  1.02932323  0.00785904  1.00096728  0.00407295  1.04399590  0.00824024  0.98610000  0.05309081
3  3.06191269  0.00108195  1.00679272  0.00977285  1.02393109  0.00553428  1.03118888  0.01027754  0.98632000  0.05246353
4  3.05431736  0.00102232  1.00124358  0.01103316  1.03845733  0.00672398  1.01461644  0.01164563  0.98724000  0.05280948
5  3.05489845  0.00099383  0.98698562  0.01201598  1.04723494  0.00775750  1.02067788  0.01272453  0.98727000  0.05260396
6  3.03619749  0.00095741  0.96764442  0.01292021  1.07932834  0.00870113  0.98922473  0.01371745  0.98746000  0.05282712
7  3.03776128  0.00094647  0.94964018  0.01382415  1.08904849  0.00958943  0.99907260  0.01469945  0.98731000  0.05252576
8  3.03543819  0.00092816  0.93161537  0.01565494  1.08642575  0.01041721  1.01739707  0.01657966  0.98833000  0.05310154
9  3.03207203  0.00090721  0.93463151  0.01671209  1.10194164  0.01118276  0.99549887  0.01772289  0.98827000  0.05258346
10  3.02755719  0.00089455  0.94719051  0.01733749  1.09011538  0.01190702  0.99025131  0.01843291  0.98771000  0.05238819
11  3.01996386  0.00087130  0.94739428  0.01789348  1.09617611  0.01258172  0.97639347  0.01906209  0.98826000  0.05307603
12  3.00832714  0.00083528  0.94345835  0.01847224  1.12596134  0.01323693  0.93890745  0.01968493  0.98798000  0.05253124
13  3.02095591  0.00085817  0.91381311  0.01909727  1.14586526  0.01388766  0.96127753  0.02033969  0.98791000  0.05212164
14  3.01974259  0.00085951  0.92837305  0.01957788  1.12163509  0.01451815  0.96973444  0.02088181  0.98882000  0.05271554
